"year","FI_median","IC_NE_median","NO_MI_median","NO_NO_median","NO_SE_median","NO_SW_median","RU_AK_median","RU_KB_median","RU_KW_median","RU_RP_median","SW_median","FI_q5","IC_NE_q5","NO_MI_q5","NO_NO_q5","NO_SE_q5","NO_SW_q5","RU_AK_q5","RU_KB_q5","RU_KW_q5","RU_RP_q5","SW_q5","FI_q95","IC_NE_q95","NO_MI_q95","NO_NO_q95","NO_SE_q95","NO_SW_q95","RU_AK_q95","RU_KB_q95","RU_KW_q95","RU_RP_q95","SW_q95"
2000,0.0391327378676437,0.786283018751019,0.372347058918242,-0.1674961251118,0.61937056732607,-0.0642459835002653,-1.9374792039934,0.522407994236591,1.17971059338978,-6.50636265820452,0.428997540562153,-0.204165462424258,0.583353012808118,0.154107633724762,-0.359228492649936,0.397876277031682,-0.288592720240594,-2.29348672925869,0.154378135018026,0.890962826274236,-6.6173420896042,0.0861252695532,0.286006922016092,0.995109650454553,0.591840531328085,0.0313802227611522,0.836290725630641,0.157627015885555,-1.55990458968817,0.892204895276301,1.46395412925816,-6.3956360411989,0.772766248768479
2001,-0.0298672241747205,0.813947114838589,0.218468350849575,-0.0933274315980601,0.692945853165411,0.0439241634929825,-2.01940321420549,0.32242368715684,1.36585551137347,-3.27463765152568,0.512016281781572,-0.290038438085474,0.593744843198744,-0.00322126601704999,-0.294611599868675,0.469966216313126,-0.177599641502749,-2.40247250481072,-0.0416818926152073,1.05235363150979,-3.38597717292897,0.159611012163755,0.216320063723408,1.01944146954786,0.433342698788777,0.100064691780674,0.921812216599428,0.268827965089399,-1.63486552922248,0.685083174472154,1.67807529521413,-3.16008984613243,0.866673164998557
2002,-0.216750879000999,0.929290918434508,-0.146065160426767,-0.193015549110854,0.465139299156741,-0.295994933906182,-0.741973676249089,0.655687678877011,1.52140341679252,-4.65336646298583,1.28848252238775,-0.47602515793466,0.705792933259999,-0.379509395035958,-0.399423696107544,0.234096555402872,-0.533439252156894,-1.1116224469708,0.246708386412036,1.20265175838227,-4.76690951687396,0.934128619984815,0.0399716365288058,1.15542167737299,0.0810866183322711,0.0120748944492509,0.69028079218022,-0.0589787874821543,-0.360669745103293,1.05088214220656,1.84889810907584,-4.54167268111628,1.6696160184721
2003,0.26146176082908,0.80406438847445,0.220077938323549,0.0597156887881219,0.441985412170054,-0.0309130141714971,-1.68675390074952,0.763274567242119,1.51664539539271,-2.8422951381748,0.284757591536148,0.00913393392063162,0.573522323199656,0.00859872337350691,-0.134530502266674,0.215795178223222,-0.252589189024356,-2.05666513352016,0.370251888380157,1.20146304895442,-2.95437195268734,-0.0739551058948687,0.51612433982092,1.03044903360811,0.437385086278698,0.26249972371249,0.666777239057732,0.192220878382873,-1.30797165749084,1.149536671315,1.84235852236039,-2.72714640137294,0.634877596530314
2004,-0.118652111721894,1.23173879781918,-0.176544665805113,-0.153738033380135,0.312450963569504,-0.320156758867709,-1.62554064914353,0.678559210663874,1.45380916155586,-1.81427101210646,0.248740998957539,-0.386134939665623,1.01645566128072,-0.394657251758606,-0.345705542254703,0.0964046847868996,-0.538645270460699,-1.99009581260826,0.261535075681268,1.13475486665658,-1.92999362920276,-0.10940706929289,0.136176697859221,1.4454496038378,0.0422913957469455,0.0372530995617806,0.524723181586847,-0.100065257202963,-1.25757977685268,1.07409647498747,1.75795893398797,-1.70065652692316,0.612597822181984
2005,0.106777895067956,1.25758736710329,0.0245148894775944,-0.18427044868916,0.299874357861807,-0.242949138997872,-1.09126856044244,0.713969289063374,1.42633713839456,-2.66342036555258,0.102370514469965,-0.125455458208995,1.02417189791987,-0.185235383248926,-0.37537782516671,0.0878901676271222,-0.454363633622615,-1.470615487229,0.325124424520215,1.11960496332109,-2.77603679440205,-0.257495361509264,0.34467913138313,1.49061453444021,0.230366234780956,0.00748355472930684,0.516202268039174,-0.0297177254971209,-0.711993350407202,1.10249792831194,1.7342204051316,-2.55357880480865,0.464818059344991
2006,0.17933873701982,1.31456316535857,-0.0499740679280774,-0.17635632123846,0.279240405141292,-0.44007823011114,-0.556952612441442,0.930816193766613,1.59428934512753,-3.63797355629001,0.087867806703078,-0.0522448118167759,1.0782850270426,-0.265330122172756,-0.369090813088048,0.05532241712275,-0.66339296148285,-0.937208883606311,0.530321436282476,1.27836614950324,-3.75141781301632,-0.269261415191188,0.407916047821341,1.54671087779939,0.174795775811843,0.0243375732129043,0.497449357440034,-0.216782300963729,-0.177039565717657,1.31995032827363,1.91172830172919,-3.52322937984831,0.438100123838106
2007,-0.681414067195121,0.995885136733083,-0.635694995933556,-0.634563378340963,-0.438724943782009,-0.953401069827949,-0.93538981499454,0.406882799942675,0.58905103192281,-4.38353524243433,-0.812315643901894,-0.928116493146482,0.742686012712174,-0.886127044336317,-0.846029248170135,-0.691726802806144,-1.20175897848822,-1.30178850529839,-0.043483787679055,0.234043550518183,-4.49696075437243,-1.21632359404291,-0.449960965909869,1.24487208840177,-0.392239170558444,-0.423951006287243,-0.192982303967974,-0.707058018290209,-0.552804255258409,0.843394888451949,0.934782462693078,-4.26819017143338,-0.407723039161968
2008,-0.185585593772603,1.07953596979974,-0.42897979931151,-0.276193129032267,-0.150719381350298,-0.638087399901193,-2.13740754836778,0.604172209128085,0.750984185385754,-5.33685563888944,-0.71017192982164,-0.413991013019498,0.837172765553697,-0.665858025187629,-0.475665996668081,-0.390787886452381,-0.867621551137363,-2.52212008407278,0.23103582304082,0.438331839088417,-5.45102002371642,-1.13034153236207,0.0480067566823649,1.31795354551087,-0.193073359707581,-0.0676100082904752,0.0886601237666349,-0.402661794308395,-1.75814829510251,0.96644817921894,1.06760933090363,-5.22308210051407,-0.285337991193609
2009,-0.00516623010899868,0.868047980533465,-0.517882407090339,-0.495017980742468,-0.437294776570283,-0.731396823819152,-2.84593297359751,0.688067797795664,0.340432644434936,-4.16252060616805,-0.723922767958203,-0.23252665926827,0.648182005891729,-0.768590813504526,-0.714848777188044,-0.688074905678912,-1.01144855752786,-3.20145328070664,0.319627913094083,-0.0101825029285063,-4.27875919077665,-1.17091175401902,0.225353316889678,1.09225840019713,-0.267078243589629,-0.281679174766757,-0.17847544705295,-0.455048101317542,-2.4794640799975,1.04600151144452,0.679956351341676,-4.05241221987231,-0.270643323165229
2010,0.0796031188136344,0.895726039353751,-0.472431733043152,-0.415569955455344,-0.54017550093057,-0.943897746353316,-2.26889345142244,0.897811284782622,0.582121997895978,-4.20440711925863,-0.794600979560708,-0.141327629047578,0.667676336763223,-0.705914391802845,-0.619813436305303,-0.787193171000813,-1.21891532028258,-2.63820913728574,0.573498318231579,0.25992433208098,-4.31854466935722,-1.20666290256174,0.304263075036759,1.11342483987389,-0.243699580090537,-0.207413348231468,-0.296918404209836,-0.672534813376956,-1.89449303511403,1.2263351946504,0.892891237287497,-4.09363879999022,-0.376504427158688
2011,0.0339414890403184,1.10042152778585,-0.643736739398515,-0.47299231839474,-0.687479943491136,-1.1670006306221,-2.18902303540284,1.04266708527371,1.00105589052701,-2.50310791058707,-0.89576701102562,-0.205211072691892,0.85720969667681,-0.916617415266345,-0.70314607406827,-0.966864060912316,-1.47076770125493,-2.57283550540988,0.693704201404209,0.643212199966371,-2.61643474141052,-1.34252791930204,0.263738834244935,1.34401414034678,-0.375257904419666,-0.246462599521587,-0.416931695139063,-0.858041807710076,-1.79204332437139,1.40030622436907,1.36465494959449,-2.39169193869797,-0.474260943262357
2012,0.584271918959957,0.391766036679186,-0.194035930824979,-0.306893592450984,-0.360057708855685,-0.501019382517642,-1.07598474095152,0.722406081611979,1.43392992854408,-2.23451692259667,-0.262471190786071,0.326072155272193,0.128043117833854,-0.491026617300503,-0.547788832236774,-0.647974442675115,-0.828769529094898,-1.46000850398832,0.343040549828758,1.07417962936559,-2.34494808584648,-0.765927743829932,0.835343524206205,0.659641504780066,0.104526551591061,-0.063455016014053,-0.0617888644674543,-0.17306675905119,-0.695865465972687,1.10422392070993,1.80937930384714,-2.12316340835227,0.232940069808065
2013,0.094064989476486,1.00826205040672,-0.210577892213775,-0.484060386312374,-0.410345752448499,-0.75507233213254,-0.893369243623087,0.370304020300729,1.5271072500433,-2.28991539643898,-1.06414972751613,-0.143074716059281,0.763451277880426,-0.480073559113294,-0.695149849372593,-0.670626885807444,-1.03638760309404,-1.26315902310834,0.025395629068783,1.21938347660754,-2.40236365009347,-1.50350678321861,0.328578534641924,1.24887431610778,0.0664793321772047,-0.261925281994984,-0.142259862240816,-0.461254687385105,-0.507125128573475,0.699680039944724,1.83497179100339,-2.17641356997126,-0.623617162415969
2014,0.320968035766115,0.384745447903993,-0.265805547854811,-0.217503616290455,-0.387279425216409,-0.799371181816527,-0.704915919613716,0.408841427536807,1.80544742344249,-3.01339596127485,-0.0264730593995576,0.09652496914672,0.145851817165701,-0.54101846965949,-0.432924034423277,-0.653368899650547,-1.0856316932426,-1.08683587639797,0.0722391123930654,1.49385249696128,-3.12630706826223,-0.450047342853216,0.551423596177444,0.626138531108706,0.00537912177816267,0.00207167603520731,-0.114568100046451,-0.513759052637751,-0.310442820505606,0.750862293440542,2.11489718777471,-2.90054533876197,0.389410446142392
2015,0.00256962774653355,0.90842412079985,-0.321885468638337,-0.560730841775164,-0.588064915383481,-0.938119953399812,-0.497998542460394,0.0933014054520858,1.79314761173729,-2.21622312994018,-0.836522441882287,-0.226686335137621,0.665168540347569,-0.571674799983428,-0.775237590308094,-0.843056826645012,-1.21901415238454,-0.895984838346135,-0.242712615966399,1.48101365536106,-2.33610566109293,-1.26723501659086,0.22949642996891,1.14994483275257,-0.0652825430362595,-0.348564009173892,-0.331535875544994,-0.657281029526327,-0.0764927856755579,0.426817016279268,2.10929024687254,-2.10529320923941,-0.409047924153532
