"year,""GF_median"",""LB_median"",""NF_median"",""QC_median"",""SF_median"",""US_median"",""GF_q5"",""LB_q5"",""NF_q5"",""QC_q5"",""SF_q5"",""US_q5"",""GF_q95"",""LB_q95"",""NF_q95"",""QC_q95"",""SF_q95"",""US_q95"""
1981,0.0746992381347552,0.0616688005347497,2.14228560305012,-1.46502623696556,0.171346520846828,-2.41759260423898,-0.142717031930858,-0.15626532563908,1.97176103053709,-1.64383443152924,-0.00979406238841756,-2.5569483808709,0.286413669406734,0.285280423729633,2.31727912553062,-1.28523733341516,0.352037761596674,-2.27737109347317
1982,0.0591301584458422,0.0602052109878176,2.00504638971313,-1.67249289960342,-0.25307621417849,-2.66432258063023,-0.159272505780215,-0.157956301327008,1.85395055747566,-1.85706651132048,-0.433142785635766,-2.81195613275116,0.27635437795777,0.286814464098647,2.15585223118153,-1.49171904598272,-0.0689848037816746,-2.51443519216619
1983,-0.0758816012361374,0.134834257492782,2.2816777238434,-1.47530966822999,-0.449945383778567,-2.79410963862016,-0.331616008730619,-0.0838388856026254,2.03661474049672,-1.6469853973166,-0.635087452131242,-2.93305463753649,0.184976167951459,0.3572264938694,2.51925711803875,-1.30263674646202,-0.254487523719615,-2.65112110649694
1984,-0.191282801143902,-0.267033320423421,2.39522202861468,-1.45489243617624,-0.235876409534456,-2.69261306970481,-0.433368230301982,-0.509005071860581,2.1301071387167,-1.56619841743453,-0.426088248664307,-2.81978028763149,0.0543291242145051,-0.0267134965835001,2.66054605799387,-1.34038699201262,-0.0429600183440413,-2.56491094699523
1985,-0.171246145116676,-0.196724957523078,1.99676448026453,-1.59568270456319,-0.0862503803047561,-3.28877987185458,-0.426717609273916,-0.425084914714222,1.75830083944726,-1.7207591374278,-0.304378014623098,-3.42930468252613,0.0952450598033977,0.0390359979246741,2.24436473578989,-1.46703753589797,0.134883746914817,-3.14048578055385
1986,0.319508762677976,-0.230848337715654,2.56754169712879,-1.40525395273631,0.303449001758483,-2.16742631467173,0.0490423764999683,-0.463719483713559,2.31202229747264,-1.53332424711872,0.081436926971947,-2.31153953489443,0.587330900110901,0.0111856466254778,2.81723708045125,-1.27458380866714,0.522933362338941,-2.01722019692404
1987,0.345507045370978,0.470701540302264,1.92481931577377,-1.21377346908896,0.552223937493947,-1.67123443617213,0.0887610577453527,0.239540576256333,1.68749996364477,-1.34233958370399,0.322158019226224,-1.81517891447838,0.603127088115411,0.710370965366751,2.17401934721577,-1.08441874921807,0.782471281878798,-1.5219605616659
1988,0.548343280355731,0.278853096884025,2.56080516633341,-1.08397222725973,0.395256170508276,-1.87980667337158,0.306896471258009,0.0644138159990346,2.33157255575549,-1.20039338221389,0.181357067765711,-2.01969880194917,0.794398945888313,0.499807192131593,2.78780880078848,-0.962986505024797,0.609056523941777,-1.73611857840026
1989,0.342485007575149,0.582537449183755,2.00505303062404,-1.00965874944405,0.763242665017534,-1.78764912487252,0.08089015957071,0.342190162695622,1.79630862929179,-1.12676719154141,0.545250890998661,-1.92213552091695,0.605681811725909,0.816520675005413,2.21186805126995,-0.888995875518425,0.978636503473306,-1.64602233144476
1990,0.304265211018095,0.842142848928248,2.31206247760784,-0.955744795653643,0.654655351922521,-1.94484480654019,0.0382850115217753,0.588499615885572,2.11315463379703,-1.06752585933666,0.450316611042299,-2.07360322090588,0.563647106804503,1.0909058243982,2.50873970409774,-0.841657792074837,0.859860066692598,-1.81340863215327
1991,-0.0134399758089342,-0.186844200433547,1.32328022699759,-1.02675146201877,0.264234811825981,-2.4692414863535,-0.233295221644265,-0.445362595762922,1.02792307782847,-1.14992196778638,0.0678016777689097,-2.60412263660416,0.202102687035237,0.064412919577912,1.61172409305132,-0.903847925399273,0.460422985483678,-2.33350606639263
1992,0.701240777562156,0.346325861868312,1.96940834677845,-0.756747740144709,0.747149084131147,-1.15682296528587,0.422169705862947,0.0577031930269585,1.76631123168181,-0.866899872050398,0.564545922137761,-1.27737178728637,0.996223109997294,0.631406187069728,2.17296801323094,-0.653044119884726,0.926255108907941,-1.039194378756
1993,0.620789956078388,0.319246631130155,2.33752401131433,-0.777030559105947,0.955516138887871,-1.41197899741132,0.341078777204555,0.023122539204674,2.13194772725652,-0.882060423289473,0.777208613528791,-1.52794891571125,0.893969802366654,0.615667554301366,2.54195767427129,-0.672963572590101,1.13672160471499,-1.29905871991961
1994,0.0617691379864546,-0.00990234543256534,1.85667818772083,-0.921529796507335,0.0602572992072395,-1.76145380481127,-0.11809195131112,-0.297501073201558,1.62887911142404,-1.02346972940742,-0.0998142156990213,-1.87593516459529,0.243825288116699,0.279818025908074,2.0865818899274,-0.81660061017465,0.224046553679895,-1.64627222861818
1995,-0.0876444488265506,0.0306438779501182,1.58125984720505,-1.10523871551999,0.156885166092212,-2.79529368539869,-0.288721989094306,-0.273756697232177,1.37566597483334,-1.2123572947257,-0.0195498376118555,-2.91096901140716,0.119051808668554,0.324574343365917,1.78196949315009,-0.998908766429169,0.331002246013569,-2.68106661221315
1996,0.0954505678522607,0.405338769855516,1.82161370062711,-0.664860855276376,1.24187438953996,-1.36441201918708,-0.110702198941349,0.175968575126363,1.62513069297642,-0.768061609873662,1.06615817145478,-1.47917532253786,0.304260468858691,0.635564497116813,2.01972424434088,-0.560043247264319,1.40780799381701,-1.24719271598512
1997,-0.299185933313953,1.13598281274708,1.33304686095931,-0.645820141386593,0.513719013506092,-1.82617290719525,-0.511726619350532,0.846483765695942,1.11737820763679,-0.750751468136484,0.362730391785925,-1.93994622880522,-0.0909121811445394,1.42663808908976,1.5469548823159,-0.536727935364586,0.66355334157979,-1.70962524794955
1998,-0.0619391092065815,1.59870980260618,1.49451971102474,-0.594687835038205,1.05063284856704,-1.40298382338552,-0.250166777263882,1.26356031513008,1.2835312074257,-0.698908739792162,0.939413192876124,-1.51705107673983,0.12189546879133,1.93854553134728,1.70577100188973,-0.490784172014364,1.16552856700101,-1.29228805277208
1999,-0.0475726444175407,1.44425780779686,1.68238493124719,-0.524855749150064,0.964629300976364,-0.625681208094497,-0.22202426861918,1.1005079425496,1.52824925965769,-0.628831866998454,0.84498210960146,-0.744316645530373,0.124013658064039,1.78946348881413,1.8381702183602,-0.417135992703504,1.08263194110548,-0.512624769068009
2000,-0.0895791826073407,1.66663178891354,2.15073290527285,-0.645670371758394,0.615877917273637,-1.42478382581581,-0.242094313277433,1.32724182086276,1.98922176484669,-0.749601653213976,0.495390526686672,-1.53792756406953,0.0632303459743082,2.00710900184796,2.30599005427392,-0.541111322227596,0.734072831164901,-1.31167908686799
2001,0.179256829531051,1.54125194839384,1.88358895960055,-0.676271167946342,0.8310385016389,-1.0974089484399,0.00434267476512863,1.19955476913631,1.70085084084601,-0.783233289728503,0.709701309781902,-1.21313735152126,0.352063687125386,1.8859959500123,2.06715242557196,-0.571200523070525,0.950656945816726,-0.982982259435053
2002,0.208563317378526,1.75737254126979,1.5790565823703,-0.652030997039859,0.702029798705377,-1.31525689285773,0.0314321202697597,1.39424604275294,1.37744728171116,-0.757670113667233,0.570942996788303,-1.43131572557711,0.385271553624521,2.12043231874659,1.78317503921611,-0.543059167812438,0.834567642050312,-1.20117489825647
2003,-0.253947247724478,1.2916717997293,1.947818259039,-0.703083849517632,0.300065540711798,-2.04193801632421,-0.442426833779265,0.967944098743295,1.73057334956246,-0.807279086458947,0.178723204578644,-2.15269421607067,-0.0582432611404132,1.61040982067256,2.16852694197537,-0.598408023871701,0.422772999585284,-1.92737031342897
