"year,""FI_median"",""IC_NE_median"",""NO_MI_median"",""NO_NO_median"",""NO_SE_median"",""NO_SW_median"",""RU_AK_median"",""RU_KB_median"",""RU_KW_median"",""RU_RP_median"",""SW_median"",""FI_q5"",""IC_NE_q5"",""NO_MI_q5"",""NO_NO_q5"",""NO_SE_q5"",""NO_SW_q5"",""RU_AK_q5"",""RU_KB_q5"",""RU_KW_q5"",""RU_RP_q5"",""SW_q5"",""FI_q95"",""IC_NE_q95"",""NO_MI_q95"",""NO_NO_q95"",""NO_SE_q95"",""NO_SW_q95"",""RU_AK_q95"",""RU_KB_q95"",""RU_KW_q95"",""RU_RP_q95"",""SW_q95"""
1987,-2.42985171769657,-1.09965215265649,-1.12880008756927,-1.23486036454552,-0.837346249893021,-1.10609005914626,-2.82160815963968,-2.53780518490206,-1.67391306390839,-2.5531871398521,-0.341979179450444,-2.89028980539834,-1.57365067968442,-1.61641746990333,-1.77137073639149,-1.28109487190067,-1.58612374882335,-3.26152936178455,-2.91169431645602,-2.0730085371174,-3.01473815099758,-0.917780944979336,-1.96775484185377,-0.586492821656798,-0.5965780800468,-0.688910848405647,-0.346409360201247,-0.57083290225497,-2.35526385958107,-2.16460115995884,-1.25193870188767,-2.07750799759459,0.3062501655515
1988,-2.19196971161267,-1.35074853696812,-1.12707177624881,-1.28332264780954,-0.843508022629072,-1.20780720033165,-2.82105139567611,-2.58426345251769,-1.6230517829331,-2.2072887941059,-0.633836610094362,-2.64622068778815,-1.80947018450599,-1.5839802195356,-1.78982470231665,-1.2876730377889,-1.679050012799,-3.26505059358436,-2.97445076766637,-2.02972328578767,-2.63580347425064,-1.18891429399248,-1.72751215719392,-0.865871045722543,-0.61603974727059,-0.771883766024125,-0.365726105636496,-0.688507711431289,-2.36295550868692,-2.19209010995877,-1.20686720301344,-1.75470632140142,-0.0134424638163144
1989,-2.2243551902209,-1.85208249504069,-1.30105405594507,-1.36429130148582,-0.997345243543654,-1.43542251117276,-2.76569484182786,-2.46362734356816,-1.89595881068178,-2.38478947733876,-0.678471091358472,-2.66810862189226,-2.28363071712408,-1.74998966883205,-1.86072227270242,-1.41474068639515,-1.88750992218819,-3.18960329359205,-2.84203995026936,-2.27442339827294,-2.80122246769385,-1.2150149772595,-1.76829201330392,-1.42012090845405,-0.820225771396672,-0.864971966185028,-0.52768798539464,-0.957848305194167,-2.33860406154693,-2.08290130636759,-1.50536054577347,-1.93114691780218,-0.100085546711148
1990,-2.21110307244785,-2.01665384181983,-1.31166467914981,-1.39469627528304,-1.07525050995915,-1.58678811884866,-2.98281734934672,-2.65090789310406,-1.9836074124822,-2.29977268987738,-0.831814826066919,-2.64105538415071,-2.44935646908947,-1.77299975863307,-1.88898617852573,-1.51537681274127,-2.04893486754594,-3.42836752955985,-3.01596720235557,-2.3895254854119,-2.7314593252096,-1.34921167305861,-1.76113535326883,-1.5863641241051,-0.828660089627213,-0.885332180072404,-0.618302928530382,-1.09549081586243,-2.52463034084961,-2.28790598603625,-1.58802883773715,-1.82120154979682,-0.265081718286842
1991,-2.05620942522082,-1.90782234343488,-1.3337170084771,-1.27136437524526,-1.01304244816284,-1.64507150165344,-2.92383811678922,-2.2212637073303,-1.88356340350381,-2.31666439818336,-0.715815849663336,-2.50263763480758,-2.34563632729015,-1.79681597368336,-1.76750928020166,-1.44158120857585,-2.11234526577255,-3.38111340856192,-2.58852215741264,-2.28399561225381,-2.75115265137061,-1.23446484370534,-1.5936870226905,-1.45862689100649,-0.846417533461083,-0.765313915650011,-0.555253114677709,-1.15488817578935,-2.47553316882453,-1.8541703425907,-1.47350902361034,-1.85867784986231,-0.166224985908653
1992,-2.01226938691766,-2.02919717749192,-1.35714546375139,-1.21890545516247,-1.13438641582076,-1.72282541529437,-2.89197367375344,-2.29585409470277,-1.95544774011436,-2.40070849209516,-0.937885388991041,-2.46568563627892,-2.48043133199839,-1.83083144001729,-1.70777975809775,-1.57145238968491,-2.18190723371884,-3.33407434916347,-2.67440579546253,-2.34370219735685,-2.8713512162126,-1.46794554248752,-1.55149590370507,-1.57153621167927,-0.871054916163833,-0.704003754497276,-0.664478821324001,-1.24036533431083,-2.42324943225761,-1.91866202693149,-1.54879697068996,-1.92016042379479,-0.368026160686389
1993,-2.1228199172973,-2.41385567936407,-1.21677832945219,-1.20773136041323,-1.16701073841476,-1.60493408547182,-2.85756300935673,-2.47817498703313,-1.9074086641861,-2.17658443422675,-1.12502491832461,-2.56494648637038,-2.84428390607641,-1.66693388673162,-1.66825210937256,-1.59557232428044,-2.03836394288682,-3.29621818303398,-2.83570151492076,-2.28575702488916,-2.61253384992847,-1.62710795363527,-1.67821926815556,-2.00538179816074,-0.744209056497524,-0.715963769446869,-0.712785921000792,-1.15175845915302,-2.40752047114391,-2.12914919501815,-1.5185242379334,-1.71453444298854,-0.578211812164626
1994,-2.23413573020972,-1.74504245635636,-1.42928255847922,-1.12698553090184,-1.20290690091278,-1.65965329290188,-2.85870988524723,-2.81484261610961,-1.94017784063624,-2.2610325791547,-1.4638676556053,-2.64595392397046,-2.18381467410798,-1.86665834352246,-1.55184574135042,-1.62016797337299,-2.08419689417423,-3.28968791132673,-3.16912936952277,-2.3089603492888,-2.63420334698769,-1.95437016904225,-1.79101789954185,-1.31431822567858,-0.982016602971016,-0.662132989908596,-0.761839553369003,-1.21585767369685,-2.43266752826514,-2.45977660651591,-1.55839643464262,-1.84743032285215,-0.966777440483317
1995,-2.25028807292124,-2.16186635944384,-1.60114784311917,-1.13176553273904,-1.40011512260471,-1.92449529918222,-2.89413776398559,-2.86441319560271,-1.93122563037053,-2.29977794835777,-1.78512350050053,-2.70583967632142,-2.59945575146981,-2.05866657420603,-1.58636178419647,-1.83858328076539,-2.36350351014491,-3.35125587494463,-3.24144355940627,-2.33348013993335,-2.7102887234877,-2.28139616908804,-1.77630198748485,-1.73608212665591,-1.14099638573133,-0.646343598014256,-0.95046600942744,-1.46242318866133,-2.43928596492413,-2.48715745643696,-1.53019836585367,-1.86908539344904,-1.27928514598823
1996,-2.25418374604373,-1.99803054414175,-1.45926322162281,-1.15568735495827,-1.33842526443493,-1.70707710895703,-2.71146161922919,-3.25123827001149,-1.97724189052317,-2.25880880229568,-2.25081356596261,-2.71669352356826,-2.41794387533605,-1.93260916523756,-1.61379090683773,-1.78269767016057,-2.15066658279915,-3.17035531314596,-3.66243763324926,-2.37864594399817,-2.65665414378621,-2.77307039878014,-1.77659559249669,-1.56279041176662,-0.965527824734656,-0.646911098884798,-0.860259894718396,-1.23970417447821,-2.24722963174245,-2.85062718748527,-1.56723644132067,-1.85471537979413,-1.72462481229818
