"year","EW_median","FR_median","IC_SW_median","IR_median","NI_FB_median","NI_FO_median","SC_EA_median","SC_WE_median","EW_q5","FR_q5","IC_SW_q5","IR_q5","NI_FB_q5","NI_FO_q5","SC_EA_q5","SC_WE_q5","EW_q95","FR_q95","IC_SW_q95","IR_q95","NI_FB_q95","NI_FO_q95","SC_EA_q95","SC_WE_q95"
1971,-1.17415371691283,0.0186006302572675,-0.239339884130542,1.06363667211548,1.40053250021597,1.56476951929724,-0.535117125447983,0.0972448776251074,-1.49983526146935,-0.49703833504488,-0.467813482035261,0.742653254187714,1.18378971888018,1.34696964693326,-0.794861258459779,-0.228847890834618,-0.837966669050631,0.52064397280616,-0.00900267361852216,1.38532142840281,1.62334772466286,1.77949008205236,-0.27776040520424,0.428290617146549
1972,-0.918460370365793,1.19746694862777,-0.229665289832226,1.15673681788418,1.6313411450474,1.57840718242057,-0.391304693754856,0.13988307872842,-1.26247577340419,0.694754852638084,-0.457622399079519,0.850466558910757,1.42170283561509,1.36464128747121,-0.656010292072097,-0.204827390415155,-0.563917958969232,1.68786397078766,-0.00127360395271079,1.46816564353161,1.84165415472153,1.7950614576687,-0.122051709448826,0.467448463322187
1973,-0.430207774159819,1.46581784226318,0.0314657967384645,1.17829620035816,1.76726604341694,1.27619217987331,0.153473779863728,0.484860997238672,-0.784820383100794,0.965031559730961,-0.200190101139093,0.869874597388493,1.55134884791817,1.06610581336942,-0.111717376447368,0.127971680199381,-0.0789683092219345,1.95752811109396,0.258034937925277,1.49038309263444,1.98586004912397,1.49529377441096,0.423512840410342,0.830487858740028
1974,-0.477600892641532,0.333187321634901,-0.303824904420141,1.2379014502379,1.4133382358488,1.9062430981773,-0.141472042946538,0.637816100189982,-0.823775441549192,-0.168934872826736,-0.532001927017353,0.924589242611412,1.2016830423973,1.69304527400855,-0.43198720740684,0.306508245563352,-0.132064776778914,0.814890755153114,-0.0715309957363717,1.55426090102491,1.6269791402108,2.12269868443981,0.141005145093457,0.968888432516989
1975,-0.14382489836463,1.12166067596928,0.0605116236066399,1.51723369924702,1.75592210873749,1.71473045469055,-0.0199326800015494,0.52330888745004,-0.416434423579213,0.757335320243319,-0.146370877919687,1.27140056671328,1.54752830319276,1.49904982381862,-0.277584452138647,0.275870961953209,0.142135325855372,1.47691820550257,0.269605140131905,1.76572037481897,1.967472675736,1.92665162207887,0.241236530130031,0.773047079007807
1976,-0.307504441442761,1.30768111042588,-0.0122377759065222,1.45480837875319,1.62335009285485,1.57929600289431,-0.222744449962379,0.588130042190967,-0.573824683813654,0.976193489030108,-0.203710758098704,1.22013788862384,1.42512049932685,1.37034306462596,-0.464065826146458,0.340423362636292,-0.0407247327016309,1.64071301124213,0.18699131150271,1.68741963481276,1.82515594023952,1.78900019545353,0.0202866952906935,0.8336381597869
1977,-0.187783427460924,1.0713241948519,-0.122103694940974,1.42278694015934,1.34394274893762,1.4452901019095,-0.299997285345236,0.475621139626542,-0.482680218766485,0.709617989647412,-0.325459545682661,1.16683747283745,1.13934288033355,1.23259674527426,-0.574598491274126,0.211744842535113,0.107060244459998,1.43205726573476,0.0868965804253473,1.68398057457078,1.5529931749269,1.65368721155013,-0.0184367016406267,0.73738146142974
1978,0.281306315384997,1.06994266624398,0.557251623569489,1.56379971928432,2.07745414128508,1.85522598647937,-0.0350074052644565,0.757044431796311,-0.0038510595976447,0.727337933199815,0.354428586469431,1.31154191671219,1.88116875380955,1.64706055691437,-0.296806339732607,0.479663451888976,0.578602714512308,1.4217540293627,0.762273409354916,1.8117724247137,2.28193190860735,2.06415972889764,0.230605386212392,1.03313319814471
1979,-0.30304284362714,0.895376349604967,0.0943008382178959,1.37405770921945,1.5021984675666,1.44764162132478,-0.346913521064014,0.447423764381363,-0.582854501084833,0.556831757180876,-0.103268083561771,1.12952646433637,1.29649300822838,1.23624344193192,-0.602476712216128,0.154786727678111,-0.0257009775029327,1.22180838370914,0.298735780444282,1.62132989645821,1.70480079247139,1.65509379120197,-0.0969175605727345,0.735867191549261
1980,-0.734807665540861,1.2551475012995,-0.289346377830627,1.21081749000138,1.60373144179457,1.79175460838677,-0.606778726101206,0.262621916635301,-1.03354066172833,0.862478205674121,-0.506770851317273,0.946595238424365,1.39558117250157,1.58977797407123,-0.87352296629206,-0.0828029414877777,-0.440640547311232,1.64872491477885,-0.0759013809453789,1.47633522716246,1.81344244632854,1.99720333672917,-0.345606939201896,0.587479021198944
