"year,""GF_median"",""LB_median"",""NF_median"",""QC_median"",""SF_median"",""US_median"",""GF_q5"",""LB_q5"",""NF_q5"",""QC_q5"",""SF_q5"",""US_q5"",""GF_q95"",""LB_q95"",""NF_q95"",""QC_q95"",""SF_q95"",""US_q95"""
1971,-0.151767558604226,0.286444061952798,-0.572696775073894,-0.122639661061931,-0.492826982831495,-0.642559392490827,-1.17126876184304,-0.724448636121781,-1.52898151860793,-1.09970631017074,-1.47241628397467,-1.52070837852455,1.10247734988711,1.61199613552399,0.626757988706416,1.09292399601621,0.836509455888933,0.565261928260777
1972,0.186001734515723,-0.206544842352943,-0.0182917954365025,0.338188772763089,0.0288538138597551,-0.775147986382711,-0.833448364786939,-1.11608488173523,-1.05098968946421,-0.700443657350618,-1.04123965138703,-1.59169300544108,1.51502748076268,0.952503145341088,1.2779265742192,1.64383506949962,1.41262960608858,0.201262335628328
1973,0.0469040232653114,0.0579674922258121,-0.486409759657834,0.0292922456333535,0.294724111808614,0.322876953570285,-0.934139372041494,-0.917980236808378,-1.43325975284392,-1.02375660005716,-0.768366753860928,-0.737994393896356,1.39249985494024,1.38006534924071,0.683680908530063,1.25201771145952,1.6367578338341,1.62449081012412
1974,-0.240363169400233,0.416405825714936,-0.276514113355941,-0.0406097072387152,0.0966513601019502,-0.554952191574584,-1.09763685758468,-0.575219032563365,-1.1626918724977,-0.986637216861907,-0.740459956604878,-1.11920522482957,0.816173232649328,1.66992403826943,0.975110393522357,1.20045469037987,1.24230445128966,0.105944353420752
1975,-0.239229992909086,-0.444119194388293,-0.842466494260774,-0.4956088697473,-0.214883831223112,-0.84027412541095,-0.755683889298861,-1.11996368445587,-1.35515969145327,-1.02408047701713,-0.805342703506314,-1.38193000310003,0.314101574817517,0.30560933739112,-0.284485439803604,0.0777691340833907,0.464910311940379,-0.182934053240593
1976,-1.18470084432041,-0.381487197683843,-1.02770188330115,-0.742405555279235,-0.586464788826546,-0.448120785658403,-1.71872167472911,-0.976249910507302,-1.46727827164086,-1.22158161486457,-1.11040434759367,-0.955518568381158,-0.661204961883604,0.280892148971108,-0.558650281950045,-0.227975419079455,-0.0100627901541342,0.115931054001477
1977,-2.04194120884726,-0.728121869816197,-1.42318035134017,-1.24341962121227,-1.68928314664972,-1.47073537034993,-2.47438688053359,-1.25102478808208,-1.85686567222499,-1.67599513994406,-2.17372876779003,-1.9375505638427,-1.59768668364035,-0.161310841071489,-0.974827116833057,-0.775733784841703,-1.19663254395814,-0.984064578954082
1978,-1.30106389506463,-0.368976073466683,-1.20829693699514,-0.898340258708265,-0.817412060085125,-0.426944822764782,-1.74933549691576,-0.894382148580997,-1.62309930374078,-1.34344146460424,-1.32213225159076,-0.943561885260912,-0.832227203387226,0.209798756107426,-0.775228525927217,-0.403271881927496,-0.283587696132683,0.170618057678597
1979,-1.33761233298268,-0.442726585022641,-1.06831416108386,-0.935004339854564,-0.813389712494268,-0.243078393081747,-1.80037204149451,-0.966900206583788,-1.52012833627628,-1.37633704958437,-1.30792544044206,-0.79087865589058,-0.846113149585968,0.173559198798859,-0.595900273646857,-0.427637383290061,-0.281032671115508,0.405551016345138
1980,-1.18139027698808,-0.593853262645029,-1.17721947308639,-0.990830565445606,-0.928554450568043,-0.425700846367039,-1.62986963164373,-1.10179370083443,-1.60285201145406,-1.43633391836061,-1.45317547442107,-0.94997729937419,-0.69240657431003,-0.0201900651655562,-0.73179650747058,-0.51849562536254,-0.367427532749356,0.140537123704041
1981,-1.17758356449698,-0.941445227117568,-1.11166211152848,-1.23106836463903,-1.20941138010965,-1.76916702635739,-1.63724976258895,-1.41791446177492,-1.52625292888995,-1.64108998776627,-1.67634734765078,-2.22732830752006,-0.670507572137355,-0.437468992742847,-0.688809831978251,-0.796597410621475,-0.726826875834314,-1.30187258418647
1982,-1.10583939442457,-1.14106247908108,-1.20432139892582,-1.49536612326451,-1.41501374888702,-2.03478568836708,-1.56698515784657,-1.61878481701217,-1.60486488466736,-1.90418268851405,-1.87178464016499,-2.46970094232291,-0.629049620213706,-0.64534366226388,-0.779948082156665,-1.07571455831409,-0.940040646321345,-1.5828672855889
1983,-1.06245645950484,-1.2662931179992,-1.15688260515999,-1.38050463541624,-1.51936322319004,-2.01835112477381,-1.51006131810863,-1.73341415757097,-1.56561137391078,-1.79453551827623,-1.97197489640989,-2.43927056654159,-0.575214195346891,-0.780679802735428,-0.716677830384938,-0.980656957485711,-1.01916123126422,-1.56375722928409
1984,-0.81641921551642,-0.871276098446219,-1.32695293010421,-1.36561939118147,-1.28804417989019,-1.76789823057246,-1.29523769274414,-1.30008776417843,-1.71892600040209,-1.79094207880515,-1.72608705254984,-2.19437703748105,-0.32222008042513,-0.393311209629066,-0.921191637980131,-0.942186464404228,-0.810836200492178,-1.31436400861744
1985,-0.52334618570192,-0.837627644175857,-1.3989754859407,-1.32655331054141,-1.10239133417892,-1.90102070282026,-1.00417599965144,-1.28711549583987,-1.78844273859725,-1.74922792955499,-1.57274678126906,-2.3522045919649,0.00222527497933327,-0.343275878206527,-0.989998837112502,-0.883388702260234,-0.573478325344885,-1.45301896338685
