"year,""EW_median"",""FR_median"",""IC_SW_median"",""IR_median"",""NI_FB_median"",""NI_FO_median"",""SC_EA_median"",""SC_WE_median"",""EW_q5"",""FR_q5"",""IC_SW_q5"",""IR_q5"",""NI_FB_q5"",""NI_FO_q5"",""SC_EA_q5"",""SC_WE_q5"",""EW_q95"",""FR_q95"",""IC_SW_q95"",""IR_q95"",""NI_FB_q95"",""NI_FO_q95"",""SC_EA_q95"",""SC_WE_q95"""
1986,-1.64786492362017,-2.12113404727471,-1.52344843835369,-1.33499369692849,-0.948319190189081,-0.824975787035032,-1.63629836272432,-1.66360257135167,-2.05317573995033,-2.57481679461017,-1.94611287249304,-1.77688706029003,-1.45476730167529,-1.36252778859915,-2.03877424434304,-2.06571568418467,-1.22193343294385,-1.65155219274124,-1.08991565225902,-0.874153344591085,-0.396140667300949,-0.212051718572309,-1.24075682564656,-1.26706075364243
1987,-1.69481119829932,-2.20017330253231,-1.39011389392741,-1.37247923765457,-0.631797580634127,-0.414409317963936,-1.63790432870287,-1.59675026238373,-2.09784276327468,-2.65103744758554,-1.83149322958629,-1.81542179603946,-1.13780253483898,-0.930804690292728,-2.03247292914192,-2.00150124752967,-1.26626580549309,-1.7430069183237,-0.916823593758954,-0.90836248761464,-0.0915374522423274,0.161568136460173,-1.22274073492286,-1.18907581501688
1988,-1.94633446035138,-2.35125153608019,-1.63529268944004,-1.60422778653603,-0.902212155046473,-0.755955160669568,-1.74787662456233,-1.78743969695396,-2.33856512601655,-2.78501444036899,-2.04376825566907,-2.02895657911706,-1.39278940980234,-1.26327751742973,-2.13048103481029,-2.17377091163085,-1.53534502691098,-1.92008347206275,-1.21475167529829,-1.17341328083328,-0.375337380534011,-0.195767707844809,-1.35531929346226,-1.39590891257518
1989,-2.2153600314943,-2.39480417837312,-1.80140235979462,-1.77760319022308,-1.03836392930873,-0.878020567218111,-1.98001450367827,-1.95200180384318,-2.60708446536656,-2.80993626441841,-2.19401395945305,-2.21411012585146,-1.51695742166492,-1.37031302249429,-2.36302477826842,-2.32644055844968,-1.82062786913185,-1.96173653128357,-1.3879719554107,-1.34959216869515,-0.524457017906631,-0.344127703623189,-1.60657853025999,-1.57443211597863
1990,-2.32260237050101,-2.37566086539102,-1.92142897290785,-1.97493310544627,-1.36555823403606,-1.25055818824724,-2.05375483934885,-2.01890905024932,-2.72641418223349,-2.82816136215824,-2.32775909359576,-2.42374235024621,-1.83925493438599,-1.72238284189845,-2.43426235227271,-2.38883688226684,-1.92437886191169,-1.93085934133783,-1.50337046640989,-1.5533754836491,-0.868049079183212,-0.750326474216049,-1.66624793540709,-1.63505625043951
1991,-2.31434330226963,-2.24530653171648,-1.86278323552176,-1.80577674277253,-1.02665189293093,-0.867639856038247,-2.0162721815638,-2.0209353843154,-2.71777604739697,-2.67095457665809,-2.25617383049907,-2.24963347936583,-1.50295312156595,-1.33978194865366,-2.3951279277384,-2.40843637953077,-1.91900144186022,-1.80820566920856,-1.45913365461343,-1.37150218961273,-0.524135328190021,-0.349288902708949,-1.63006738706973,-1.63567505595952
1992,-2.28569046413496,-2.22582982502878,-1.92972892344332,-1.65952613408436,-0.965378369728651,-0.978698398999593,-2.08909205485467,-2.08831302203048,-2.67995054529993,-2.6709564336486,-2.35814860088713,-2.09394250305649,-1.45237014289202,-1.46794048453335,-2.47039264992441,-2.47446698245501,-1.87987213780733,-1.78417578831597,-1.50727541794311,-1.2125596646768,-0.450517447318141,-0.435136085255559,-1.70040977252945,-1.69740860684536
1993,-2.23326832916319,-2.31725428571699,-2.08339563302458,-1.56130373341584,-1.1365336471432,-1.22304912255627,-2.09423382661458,-2.13685381877185,-2.62589227768044,-2.75135518567671,-2.48855860517586,-1.98729335775108,-1.57674121205927,-1.66105596264976,-2.46278975705878,-2.51100095121158,-1.83033731840892,-1.88174431046487,-1.67809269117912,-1.12900936035313,-0.672758064261506,-0.747925154455925,-1.71663254760955,-1.75453599904972
1994,-2.14414247139551,-2.33741739338538,-1.82296244466173,-1.53625337517073,-1.15596442931127,-1.29940774983104,-2.03497238776768,-2.14693074462182,-2.52499429964479,-2.7471058738903,-2.21570767284689,-1.93017195128002,-1.57440711727166,-1.72164263096103,-2.4036647745749,-2.50744616852201,-1.75388696257762,-1.91265415589703,-1.41609729476548,-1.13331484844474,-0.707846998387961,-0.8650050858414,-1.67055845663871,-1.77283566520148
1995,-2.27923184116439,-2.50067643228866,-1.93437261079263,-1.49696407023042,-1.4861676536776,-1.77431971543874,-2.14988816243049,-2.23452810461689,-2.68379016507786,-2.94978737923182,-2.34790303722266,-1.92971256899577,-1.92327352478393,-2.21889855937346,-2.53419609874195,-2.62492214554341,-1.87131626710993,-2.05643109276578,-1.5082046059247,-1.05087148318571,-1.03342638968983,-1.32262333802289,-1.76024503038202,-1.84707438089745
