"","LB","NF","QC","GF","SF","US","FR","EW","IR","NI_FO","NI_FB","SC_WE","SC_EA","IC_SW","IC_NE","SW","NO_SE","NO_SW","NO_MI","NO_NO","FI","RU_KB","RU_KW","RU_AK","RU_RP"
"1971",0.286444061952798,-0.572696775073894,-0.122639661061931,-0.151767558604226,-0.492826982831495,-0.642559392490827,-0.46075161123061,-0.572359401710514,-0.437141039997986,0.0272650404127881,0.153931749626516,-1.59170548939094,-0.508242352636777,-0.429900017488689,-0.579737307226955,-0.393702751041149,-0.0786525406845796,0.231376414582116,0.0943702460078896,0.283711915552288,-0.782704555768825,-1.46536542171498,-0.889862717483596,-1.15553926238508,-0.784058805904239
"1972",-0.206544842352943,-0.0182917954365025,0.338188772763089,0.186001734515723,0.0288538138597551,-0.775147986382711,-0.889543047015167,-0.72599623779164,-0.28795786990557,0.0367550450865148,0.0595896432564847,-1.38584438957004,-0.547036855686273,-0.426079763516478,-0.550237672541531,-0.376986729152624,-0.0736686639182568,0.193409189198322,0.0786641373668719,0.181428821406364,-0.883088964188023,-0.932533614162008,-0.553241006233373,-1.1628916921754,-1.08050100939729
"1973",0.0579674922258121,-0.486409759657834,0.0292922456333535,0.0469040232653114,0.294724111808614,0.322876953570285,-1.6840521585174,-0.547606166673408,-0.175563409586475,0.0391796325705198,-0.35943922508712,-1.21779799902363,-0.313104172020709,-0.592903012447074,-0.357453394294402,-0.041850170462527,-0.116321431413743,0.209397178068993,0.0600719695555952,0.132324398901268,-0.58045106157588,-1.00146928989153,-0.503461174295349,-1.28851358258759,-1.00804759934563
"1974",0.416405825714936,-0.276514113355941,-0.0406097072387152,-0.240363169400233,0.0966513601019502,-0.554952191574584,-1.96061532000048,-1.30077977177393,-0.595534807845554,-0.727183503501303,-0.622648117700767,-1.3579731247844,-0.889606141279844,-0.371963350190492,-0.674945013348263,0.117316741212125,-0.340014607142393,-0.041628474484625,-0.0896665676112839,-0.0790240071492488,-1.21139461933643,-1.3066086002292,-0.59029690523248,-1.66370843323688,-1.12119861309008
"1975",-0.444119194388293,-0.842466494260774,-0.4956088697473,-0.239229992909086,-0.214883831223112,-0.84027412541095,-1.78874883689286,-1.80842441251903,-1.38188342514017,-0.893805718794384,-1.06975763085152,-1.51222388774849,-1.36601945497116,-1.37623707032856,-0.923193620613519,-0.492244472538922,-0.780140632064547,-0.459948320119187,-0.543040520637247,-0.39606431197546,-1.81781015487732,-2.04045623004225,-1.35558747222603,-2.47961557803605,-2.23050880044023
"1976",-0.381487197683843,-1.02770188330115,-0.742405555279235,-1.18470084432041,-0.586464788826546,-0.448120785658403,-1.92095414984532,-1.9934712868697,-1.79180877791685,-1.11518141963164,-1.0742936548805,-1.65452291066222,-1.44575414845913,-1.58192607553306,-1.20325558956641,-0.991628312239357,-1.08488934458612,-0.69434367736971,-0.764221423839562,-0.598344268939628,-2.27511419218188,-2.65347101197618,-1.80705988496635,-2.57505122961776,-2.27949178220134
"1977",-0.728121869816197,-1.42318035134017,-1.24341962121227,-2.04194120884726,-1.68928314664972,-1.47073537034993,-2.03875586997379,-2.20608528760939,-2.0032626220344,-1.03100554768175,-0.816400680950301,-1.774222217978,-1.7198299443318,-1.90636002336763,-1.73736348005553,-1.14983224616483,-1.20272734926445,-0.746361578387234,-0.849038674488985,-0.752988106290351,-2.3838239114169,-3.17972688653711,-1.95136971002489,-2.46621242598706,-2.66262955379156
"1978",-0.368976073466683,-1.20829693699514,-0.898340258708265,-1.30106389506463,-0.817412060085125,-0.426944822764782,-1.78675844035219,-1.87673773655245,-2.01045212094952,-0.845169229105267,-1.00384114451097,-1.63441166997876,-1.47564890914757,-1.6604284386905,-1.44853016971353,-0.824596665650322,-0.987398388039577,-0.601282416114284,-0.679333701440999,-0.652448658059262,-2.68248746806742,-3.08753553075982,-1.91200832274194,-2.62761644569916,-2.64057224833885
"1979",-0.442726585022641,-1.06831416108386,-0.935004339854564,-1.33761233298268,-0.813389712494268,-0.243078393081747,-1.6199232463026,-1.74970745968932,-2.06803720865796,-0.676905473006987,-0.971590521603731,-1.59917384217948,-1.59933447562914,-2.01542752728484,-2.41169265136307,-0.491411584924313,-1.01987239087517,-0.672372119063416,-0.652624321592413,-0.716886305393287,-2.93139175340162,-3.04497422093531,-2.25564910263744,-2.8815130820214,-2.93035854618683
"1980",-0.593853262645029,-1.17721947308639,-0.990830565445606,-1.18139027698808,-0.928554450568043,-0.425700846367039,-1.69678334320602,-1.76063155499466,-2.11270784537259,-0.61891259169183,-0.944021769230033,-1.60014348124637,-1.60564678750759,-1.92278033960595,-1.98663296315452,-0.252493482922661,-1.0083071084348,-0.671267171901303,-0.686254447168694,-0.767239635143817,-2.94045723945413,-3.04174405092262,-2.26882382599066,-2.87183720291412,-2.96520264596134
"1981",-0.941445227117568,-1.11166211152848,-1.23106836463903,-1.17758356449698,-1.20941138010965,-1.76916702635739,-1.90203735716168,-1.84022758968315,-1.72182860867383,-0.502096113109598,-0.855656195286082,-1.64357449860226,-1.74790680120187,-1.99297894437854,-2.55130034757252,0.081579095909459,-1.1132658143992,-0.806833513383326,-0.778178315603171,-0.851885488766992,-2.7508239767243,-2.43216970964411,-2.23409630047716,-2.75627463264504,-2.91672474874226
"1982",-1.14106247908108,-1.20432139892582,-1.49536612326451,-1.10583939442457,-1.41501374888702,-2.03478568836708,-1.96389306595617,-1.82956261740126,-1.42925517094065,-0.483053944010902,-0.741454141977837,-1.62302306482197,-1.80683399344304,-2.00876264640032,-2.40870177583744,0.222991587740634,-1.04390131539244,-0.753558221967795,-0.720974545363803,-0.772592606120209,-2.37953568240493,-1.95039810079844,-1.93806340749985,-2.79030252211794,-2.83008782811544
"1983",-1.2662931179992,-1.15688260515999,-1.38050463541624,-1.06245645950484,-1.51936322319004,-2.01835112477381,-2.03039021425734,-1.87882821324358,-1.39215799195437,-0.888477419740712,-1.12569126931931,-1.68605935601264,-1.83522271322342,-2.20553207683469,-2.89595195929705,0.331687668493487,-1.06533135703764,-0.877708742378698,-0.801853543644637,-0.793821684962763,-2.24831255421709,-1.84459513875182,-1.85714055478755,-2.9049431506792,-2.53383808976507
"1984",-0.871276098446219,-1.32695293010421,-1.36561939118147,-0.81641921551642,-1.28804417989019,-1.76789823057246,-2.13475238120907,-1.75149909164123,-1.1577433455783,-0.724563127075317,-0.892087509844224,-1.63413638918371,-1.69325982752288,-1.77798417220414,-1.6755054775088,0.0326571830172113,-0.985273511382486,-0.822146417466725,-0.855927558555916,-0.830695693954216,-2.20728631318752,-2.17638007255221,-1.50740717969511,-2.70594595404131,-2.43213910855079
"1985",-0.837627644175857,-1.3989754859407,-1.32655331054141,-0.52334618570192,-1.10239133417892,-1.90102070282026,-2.14254657871816,-1.65596913983463,-1.09305489196228,-0.744890573818829,-0.892332702689353,-1.62274851771353,-1.63043721843498,-1.53974334623727,-1.37256983308556,0.0294585929965989,-0.822087320761183,-0.916136895650241,-0.956839885008886,-1.01282976826936,-2.22029190751272,-2.14612120466882,-1.55178528260196,-2.94670750131534,-2.50715824234472
"1986",-0.855293050365008,-1.54447336387166,-1.28537782257265,-0.582250813185391,-0.898457603213394,-1.52472405555909,-2.12113404727471,-1.64786492362017,-1.33499369692849,-0.824975787035032,-0.948319190189081,-1.66360257135167,-1.63629836272432,-1.52344843835369,-1.29858094831637,-0.207816055143897,-0.889193866435378,-0.974294052839012,-1.03189522881369,-1.05604770251679,-2.3274696924112,-2.43538817499298,-1.41314953184353,-2.80768801534126,-2.55454395985246
"1987",-0.925218166303279,-1.47620194925253,-1.27841648336832,-0.634452667423587,-1.12553890365635,-1.98462660286576,-2.20017330253231,-1.69481119829932,-1.37247923765457,-0.414409317963936,-0.631797580634127,-1.59675026238373,-1.63790432870287,-1.39011389392741,-1.09965215265649,-0.341979179450444,-0.837346249893021,-1.10609005914626,-1.12880008756927,-1.23486036454552,-2.42985171769657,-2.53780518490206,-1.67391306390839,-2.82160815963968,-2.5531871398521
"1988",-1.00838237111334,-1.82104335772736,-1.50178909442796,-1.17284827436899,-1.76966627171039,-2.10820412658196,-2.35125153608019,-1.94633446035138,-1.60422778653603,-0.755955160669568,-0.902212155046473,-1.78743969695396,-1.74787662456233,-1.63529268944004,-1.35074853696812,-0.633836610094362,-0.843508022629072,-1.20780720033165,-1.12707177624881,-1.28332264780954,-2.19196971161267,-2.58426345251769,-1.6230517829331,-2.82105139567611,-2.2072887941059
"1989",-1.25190064789704,-1.75265979552695,-1.67830063689425,-1.57792374633742,-2.16106182961192,-2.70237153757471,-2.39480417837312,-2.2153600314943,-1.77760319022308,-0.878020567218111,-1.03836392930873,-1.95200180384318,-1.98001450367827,-1.80140235979462,-1.85208249504069,-0.678471091358472,-0.997345243543654,-1.43542251117276,-1.30105405594507,-1.36429130148582,-2.2243551902209,-2.46362734356816,-1.89595881068178,-2.76569484182786,-2.38478947733876
"1990",-1.19644027699448,-1.84970020066043,-1.79944415796207,-1.89444678050117,-2.42983784413665,-2.72366990036032,-2.37566086539102,-2.32260237050101,-1.97493310544627,-1.25055818824724,-1.36555823403606,-2.01890905024932,-2.05375483934885,-1.92142897290785,-2.01665384181983,-0.831814826066919,-1.07525050995915,-1.58678811884866,-1.31166467914981,-1.39469627528304,-2.21110307244785,-2.65090789310406,-1.9836074124822,-2.98281734934672,-2.29977268987738
"1991",-1.46006442616231,-1.64244203724728,-2.03347989829329,-1.75417918055077,-2.49067532544418,-2.81799911998344,-2.24530653171648,-2.31434330226963,-1.80577674277253,-0.867639856038247,-1.02665189293093,-2.0209353843154,-2.0162721815638,-1.86278323552176,-1.90782234343488,-0.715815849663336,-1.01304244816284,-1.64507150165344,-1.3337170084771,-1.27136437524526,-2.05620942522082,-2.2212637073303,-1.88356340350381,-2.92383811678922,-2.31666439818336
"1992",-1.57097325819589,-1.63924336991552,-2.25784862672611,-2.18080738614348,-2.94198343676459,-3.64527620493786,-2.22582982502878,-2.28569046413496,-1.65952613408436,-0.978698398999593,-0.965378369728651,-2.08831302203048,-2.08909205485467,-1.92972892344332,-2.02919717749192,-0.937885388991041,-1.13438641582076,-1.72282541529437,-1.35714546375139,-1.21890545516247,-2.01226938691766,-2.29585409470277,-1.95544774011436,-2.89197367375344,-2.40070849209516
"1993",-1.46227977747081,-1.73788085349589,-2.27970660678083,-2.42112779208415,-3.24652520226303,-3.32243346154176,-2.31725428571699,-2.23326832916319,-1.56130373341584,-1.22304912255627,-1.1365336471432,-2.13685381877185,-2.09423382661458,-2.08339563302458,-2.41385567936407,-1.12502491832461,-1.16701073841476,-1.60493408547182,-1.21677832945219,-1.20773136041323,-2.1228199172973,-2.47817498703313,-1.9074086641861,-2.85756300935673,-2.17658443422675
"1994",-1.23388520224879,-1.65959405393986,-2.27760145745219,-2.43869025697951,-2.75097769537657,-2.87427123201851,-2.33741739338538,-2.14414247139551,-1.53625337517073,-1.29940774983104,-1.15596442931127,-2.14693074462182,-2.03497238776768,-1.82296244466173,-1.74504245635636,-1.4638676556053,-1.20290690091278,-1.65965329290188,-1.42928255847922,-1.12698553090184,-2.23413573020972,-2.81484261610961,-1.94017784063624,-2.85870988524723,-2.2610325791547
"1995",-0.858559700378518,-1.48946910211325,-2.21921723079524,-2.63574880331961,-2.5782053173935,-2.86525132751047,-2.50067643228866,-2.27923184116439,-1.49696407023042,-1.77431971543874,-1.4861676536776,-2.23452810461689,-2.14988816243049,-1.93437261079263,-2.16186635944384,-1.78512350050053,-1.40011512260471,-1.92449529918222,-1.60114784311917,-1.13176553273904,-2.25028807292124,-2.86441319560271,-1.93122563037053,-2.89413776398559,-2.29977794835777
"1996",-0.872687337266265,-1.92969072875429,-2.41822489759602,-3.10634338053169,-3.15924510934798,-2.8825652121822,-2.51209992253061,-2.4334989925948,-1.66335030804055,-1.85476004963943,-1.60331881066285,-2.2985042663303,-2.28848544241372,-2.13090012491514,-1.99803054414175,-2.25081356596261,-1.33842526443493,-1.70707710895703,-1.45926322162281,-1.15568735495827,-2.25418374604373,-3.25123827001149,-1.97724189052317,-2.71146161922919,-2.25880880229568
"1997",-0.814996179479761,-1.9725170997609,-2.32207813941764,-2.79514754783682,-2.51006955759741,-2.99850534358112,-2.20660118435115,-2.29275467733294,-1.52209381135946,-1.17348575834187,-1.04542794533653,-2.2062775388215,-2.20944234444631,-1.82245451368849,-1.72913900254024,-2.25314361631118,-1.20483630720065,-1.94483072893515,-1.37487678001109,-1.095387610573,-2.25497875564842,-3.13017007792019,-1.95692325014479,-2.70413503769663,-2.71714313192156
"1998",-1.05596470278334,-1.95296389195001,-2.35223541519524,-2.84354957023739,-3.08707527275494,-3.55137137671486,-2.22085792317877,-2.3908126905729,-1.48634371512399,-1.77144277157929,-1.66244283062356,-2.24620376425364,-2.35223767747094,-2.15345031711,-2.16975161211365,-1.92887904734482,-1.12969309372652,-1.74298332016247,-1.21743705380473,-1.10674909134217,-1.92761184427148,-2.72375350883086,-2.05492117330745,-2.69687470727875,-2.40174216848237
"1999",-1.12830136247281,-1.97007868816528,-2.33168685293891,-2.5027505285072,-2.89231211407899,-3.32281461367604,-1.90792632317704,-2.15467999576752,-1.43003298658623,-1.57644863013264,-1.65825223638927,-2.02918282503726,-2.19346092462852,-2.0064532190484,-1.91587734974172,-1.71158032890289,-0.814567259899694,-1.58097560450837,-1.05063824891996,-1.04068281411039,-1.82478153726299,-2.50956063395471,-2.02740593301044,-2.79995368344566,-2.85132139403937
"2000",-1.46058539472519,-2.25515856172274,-2.57009938778141,-2.68505745500516,-3.48909086935935,-3.54402864061218,-1.94342401242131,-2.21243964593827,-1.52979230869439,-2.08027683927918,-2.04537087417174,-2.01669010141648,-2.24062856182075,-2.13969155263827,-2.03439337199172,-1.64621237766626,-0.801639385121854,-1.45702149704316,-0.969945009931114,-1.11147874883459,-1.64985622037489,-2.1247610780255,-2.0365488460617,-2.81415879449612,-2.67495928045964
"2001",-1.59022592288258,-2.12446133349358,-2.20414742088666,-2.04747236861988,-2.62182272456833,-2.86336131583928,-1.70893790162768,-2.06433493315934,-1.66129042379841,-1.61492391718896,-2.21799926012488,-1.92284589704787,-2.09758374306,-1.73183378439913,-1.67365514369872,-1.6125480049658,-0.735275269788678,-1.51259335268719,-1.04096066520707,-1.18138088218148,-1.95792019583546,-2.21199644796835,-2.16404616882656,-2.76114322746859,-2.89791673154253
"2002",-1.76100562161505,-2.01765261663751,-2.31164398095942,-2.25101663015946,-2.86545040751848,-2.93118985248339,-1.6559415991074,-2.17059968484673,-1.89071496155149,-1.50269633299445,-2.04427694429457,-1.86383899022561,-2.08614511052079,-1.7936364130761,-1.94442709070386,-1.65942762837896,-0.809640225113907,-1.44256902281583,-1.03055260483965,-1.2946967538459,-2.21107360735153,-2.1977729886827,-2.41473683300912,-2.7074894211443,-2.96488982303228
"2003",-1.71036140763189,-2.07312792725545,-2.27166282482423,-2.06166416266348,-2.51076014818875,-3.02443870821793,-1.83435110169234,-2.16474204513394,-2.09643323869203,-1.5683272246582,-1.75971738542207,-1.8008772615354,-2.02587150775393,-1.45323892800837,-1.36127132447786,-2.09328416574893,-1.05727368353563,-1.63466299828564,-1.46994038523609,-1.43153905618305,-2.56072684391734,-2.53256109142194,-2.57072693973871,-2.52403173683915,-2.93488356490224
